"District","week","TForce"
"Abu Ghraib",2447,1.849204138
"Abu Ghraib",2448,1.849204138
"Abu Ghraib",2449,1.849204138
"Abu Ghraib",2450,1.849204138
"Abu Ghraib",2451,1.849204138
"Abu Ghraib",2452,1.849204138
"Abu Ghraib",2453,1.849204138
"Abu Ghraib",2454,1.849204138
"Abu Ghraib",2455,1.849204138
"Abu Ghraib",2456,1.849204138
"Abu Ghraib",2457,1.849204138
"Abu Ghraib",2458,1.849204138
"Abu Ghraib",2459,1.849204138
"Abu Ghraib",2460,1.849204138
"Abu Ghraib",2461,1.849204138
"Abu Ghraib",2462,1.849204138
"Abu Ghraib",2463,1.849204138
"Abu Ghraib",2464,1.849204138
"Abu Ghraib",2465,1.849204138
"Abu Ghraib",2466,1.849204138
"Abu Ghraib",2467,1.849204138
"Abu Ghraib",2468,1.849204138
"Abu Ghraib",2469,1.849204138
"Abu Ghraib",2470,1.849204138
"Abu Ghraib",2471,1.849204138
"Abu Ghraib",2472,1.849204138
"Abu Ghraib",2473,1.849204138
"Abu Ghraib",2474,1.849204138
"Abu Ghraib",2475,1.849204138
"Abu Ghraib",2476,1.849204138
"Abu Ghraib",2477,1.849204138
"Abu Ghraib",2478,1.849204138
"Abu Ghraib",2479,1.849204138
"Abu Ghraib",2480,1.849204138
"Abu Ghraib",2481,1.849204138
"Abu Ghraib",2482,1.849204138
"Abu Ghraib",2483,1.849204138
"Abu Ghraib",2484,1.849204138
"Abu Ghraib",2485,1.849204138
"Abu Ghraib",2486,1.849204138
"Abu Ghraib",2487,1.849204138
"Abu Ghraib",2488,1.849204138
"Abu Ghraib",2489,1.849204138
"Abu Ghraib",2490,1.849204138
"Abu Ghraib",2491,1.849204138
"Abu Ghraib",2492,1.849204138
"Abu Ghraib",2493,1.849204138
"Abu Ghraib",2494,1.849204138
"Abu Ghraib",2495,1.849204138
"Abu Ghraib",2496,1.795889969
"Abu Ghraib",2497,1.795889969
"Abu Ghraib",2498,1.795889969
"Abu Ghraib",2499,1.795889969
"Abu Ghraib",2500,1.795889969
"Abu Ghraib",2501,2.099169401
"Abu Ghraib",2502,2.099169401
"Abu Ghraib",2503,2.099169401
"Abu Ghraib",2504,2.099169401
"Abu Ghraib",2505,2.099169401
"Abu Ghraib",2506,2.099169401
"Abu Ghraib",2507,2.099169401
"Abu Ghraib",2508,2.099169401
"Abu Ghraib",2509,2.099169401
"Abu Ghraib",2510,2.099169401
"Abu Ghraib",2511,2.099169401
"Abu Ghraib",2512,2.099169401
"Abu Ghraib",2513,2.099169401
"Abu Ghraib",2514,2.099169401
"Abu Ghraib",2515,2.099169401
"Abu Ghraib",2516,2.099169401
"Abu Ghraib",2517,2.099169401
"Abu Ghraib",2518,2.099169401
"Abu Ghraib",2519,2.099169401
"Abu Ghraib",2520,2.099169401
"Abu Ghraib",2521,2.099169401
"Abu Ghraib",2522,2.099169401
"Abu Ghraib",2523,2.099169401
"Abu Ghraib",2524,2.099169401
"Abu Ghraib",2525,2.099169401
"Abu Ghraib",2526,2.099169401
"Abu Ghraib",2527,2.099169401
"Abu Ghraib",2528,2.099169401
"Abu Ghraib",2529,2.099169401
"Abu Ghraib",2530,2.099169401
"Abu Ghraib",2531,2.099169401
"Abu Ghraib",2532,2.099169401
"Abu Ghraib",2533,2.099169401
"Abu Ghraib",2534,2.099169401
"Abu Ghraib",2535,2.099169401
"Abu Ghraib",2536,2.099169401
"Abu Ghraib",2537,2.099169401
"Abu Ghraib",2538,2.099169401
"Abu Ghraib",2539,2.099169401
"Adhamiya",2297,0.859795205
"Adhamiya",2298,0.859795205
"Adhamiya",2299,0.859795205
"Adhamiya",2300,0.859795205
"Adhamiya",2301,1.599562019
"Adhamiya",2302,1.599562019
"Adhamiya",2303,1.599562019
"Adhamiya",2304,1.599562019
"Adhamiya",2305,1.599562019
"Adhamiya",2306,1.599562019
"Adhamiya",2307,1.599562019
"Adhamiya",2308,1.599562019
"Adhamiya",2309,1.599562019
"Adhamiya",2310,1.599562019
"Adhamiya",2311,1.599562019
"Adhamiya",2312,1.599562019
"Adhamiya",2313,1.599562019
"Adhamiya",2314,1.599562019
"Adhamiya",2315,1.599562019
"Adhamiya",2316,1.599562019
"Adhamiya",2317,1.599562019
"Adhamiya",2318,1.599562019
"Adhamiya",2319,1.599562019
"Adhamiya",2320,1.599562019
"Adhamiya",2321,1.599562019
"Adhamiya",2322,1.599562019
"Adhamiya",2323,1.599562019
"Adhamiya",2324,1.599562019
"Adhamiya",2325,1.599562019
"Adhamiya",2326,1.599562019
"Adhamiya",2327,1.599562019
"Adhamiya",2328,1.599562019
"Adhamiya",2329,1.599562019
"Adhamiya",2330,1.599562019
"Adhamiya",2331,1.599562019
"Adhamiya",2332,1.599562019
"Adhamiya",2333,1.599562019
"Adhamiya",2334,1.599562019
"Adhamiya",2335,1.599562019
"Adhamiya",2336,1.599562019
"Adhamiya",2337,1.599562019
"Adhamiya",2338,1.599562019
"Adhamiya",2339,1.599562019
"Adhamiya",2340,1.628189369
"Adhamiya",2341,1.628189369
"Adhamiya",2342,1.628189369
"Adhamiya",2343,1.628189369
"Adhamiya",2344,1.628189369
"Adhamiya",2345,0.875182953
"Adhamiya",2346,0.875182953
"Adhamiya",2347,0.875182953
"Adhamiya",2348,0.875182953
"Adhamiya",2392,0.719194194
"Adhamiya",2393,0.719194194
"Adhamiya",2394,0.719194194
"Adhamiya",2395,0.719194194
"Adhamiya",2396,0.719194194
"Adhamiya",2397,0.719194194
"Adhamiya",2398,0.719194194
"Adhamiya",2399,0.719194194
"Adhamiya",2400,0.719194194
"Adhamiya",2401,0.719194194
"Adhamiya",2402,0.719194194
"Adhamiya",2403,0.719194194
"Adhamiya",2404,0.719194194
"Adhamiya",2405,0.719194194
"Adhamiya",2406,0.719194194
"Adhamiya",2407,0.719194194
"Adhamiya",2408,0.719194194
"Adhamiya",2409,0.719194194
"Adhamiya",2410,0.719194194
"Adhamiya",2411,0.719194194
"Adhamiya",2412,0.719194194
"Adhamiya",2413,0.719194194
"Adhamiya",2414,0.719194194
"Adhamiya",2415,0.719194194
"Adhamiya",2416,0.719194194
"Adhamiya",2417,0.719194194
"Adhamiya",2418,0.572436416
"Adhamiya",2419,0.572436416
"Adhamiya",2420,0.572436416
"Adhamiya",2421,0.572436416
"Adhamiya",2422,0.572436416
"Adhamiya",2423,1.307036123
"Adhamiya",2424,1.307036123
"Adhamiya",2425,1.307036123
"Adhamiya",2426,1.307036123
"Adhamiya",2427,1.307036123
"Adhamiya",2428,1.307036123
"Adhamiya",2429,1.307036123
"Adhamiya",2430,1.307036123
"Adhamiya",2431,2.451908956
"Adhamiya",2432,2.451908956
"Adhamiya",2433,2.451908956
"Adhamiya",2434,2.451908956
"Adhamiya",2435,2.451908956
"Adhamiya",2436,1.593254331
"Adhamiya",2437,1.593254331
"Adhamiya",2438,1.593254331
"Adhamiya",2439,1.593254331
